11 1000
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
2 3 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
3 4 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
4 5 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
5 6 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
6 7 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
7 8 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
8 9 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
9 10 100
